Date,Num1,Num2
2017-12-08,2,29
2017-12-09,3,29
2017-12-26,20,29
2017-12-21,21,29
2018-01-11,7,29
2018-01-20,16,29
2018-01-21,17,29
2018-01-23,19,29
2018-01-28,24,29
2018-01-30,26,29
2018-02-04,2,28
2018-02-07,5,28
2018-02-08,6,28
2018-02-25,23,28
2018-03-01,27,28
2018-03-02,28,28
2018-03-03,1,28
2018-03-05,3,28
2018-03-15,13,28
2018-03-20,18,28
2018-03-23,21,28
2018-03-24,22,28
2018-03-30,28,28
2018-04-03,4,28
2018-04-04,5,28
2018-04-08,9,28
2018-04-09,10,28
2018-04-11,12,28
2018-04-15,16,28
2018-04-16,17,28
2018-05-04,7,28
2018-05-12,15,28
2018-06-09,15,31
2018-07-03,8,29
2018-07-06,11,29
2018-07-08,13,29
2018-07-11,16,29
2018-07-20,25,29
2018-07-27,3,34
2018-07-28,4,34
2018-08-03,10,34
2018-08-07,14,34
2018-11-04,11,32
2018-11-09,16,32
2018-11-23,30,32
2018-11-24,31,32
2018-12-03,9,29
2018-12-30,8,27
